max_width_frac,y_min_court_frac,max_players,total_frames,include_predicted_in_counts,mean_players_per_frame,std_players_per_frame,min_players_per_frame,max_players_per_frame,mean_observed_per_frame,mean_predicted_per_frame,frames_with_full_coverage,total_id_switches,mean_track_streak,min_track_streak,mean_displacement,max_jump,rolling_loss_frames,sudden_drop_frames,tag,ade,baseline_ade,delta_ade
0.3,0.1,10,45,False,7.2,2.7292652653944964,0,10,7.2,0.0,9,5,10.083333333333334,5,31.104952749109696,75.02966080157898,5,7,w0.3_y0.1_p10,19.117055900538364,18.22012306091101,0.8969328396273539
0.3,0.1,12,45,False,7.2,2.7292652653944964,0,10,7.2,0.0,9,5,10.083333333333334,5,31.104952749109696,75.02966080157898,5,7,w0.3_y0.1_p12,19.117055900538364,18.22012306091101,0.8969328396273539
0.3,0.15,10,45,False,7.2,2.7292652653944964,0,10,7.2,0.0,9,5,10.083333333333334,5,31.104952749109696,75.02966080157898,5,7,w0.3_y0.15_p10,19.117055900538364,18.22012306091101,0.8969328396273539
0.3,0.15,12,45,False,7.2,2.7292652653944964,0,10,7.2,0.0,9,5,10.083333333333334,5,31.104952749109696,75.02966080157898,5,7,w0.3_y0.15_p12,19.117055900538364,18.22012306091101,0.8969328396273539
0.3,0.2,10,45,False,7.2,2.7292652653944964,0,10,7.2,0.0,9,5,10.083333333333334,5,31.104952749109696,75.02966080157898,5,7,w0.3_y0.2_p10,19.117055900538364,18.22012306091101,0.8969328396273539
0.3,0.2,12,45,False,7.2,2.7292652653944964,0,10,7.2,0.0,9,5,10.083333333333334,5,31.104952749109696,75.02966080157898,5,7,w0.3_y0.2_p12,19.117055900538364,18.22012306091101,0.8969328396273539
0.35,0.1,10,45,False,7.311111111111111,2.731074043686616,0,10,7.311111111111111,0.0,9,5,10.166666666666666,5,31.075911018087844,75.02966080157898,5,5,w0.35_y0.1_p10,19.614241316178536,18.22012306091101,1.394118255267525
0.35,0.1,12,45,False,7.311111111111111,2.731074043686616,0,10,7.311111111111111,0.0,9,5,10.166666666666666,5,31.075911018087844,75.02966080157898,5,5,w0.35_y0.1_p12,19.614241316178536,18.22012306091101,1.394118255267525
0.35,0.15,10,45,False,7.311111111111111,2.731074043686616,0,10,7.311111111111111,0.0,9,5,10.166666666666666,5,31.075911018087844,75.02966080157898,5,5,w0.35_y0.15_p10,19.614241316178536,18.22012306091101,1.394118255267525
0.35,0.15,12,45,False,7.311111111111111,2.731074043686616,0,10,7.311111111111111,0.0,9,5,10.166666666666666,5,31.075911018087844,75.02966080157898,5,5,w0.35_y0.15_p12,19.614241316178536,18.22012306091101,1.394118255267525
0.35,0.2,10,45,False,7.311111111111111,2.731074043686616,0,10,7.311111111111111,0.0,9,5,10.166666666666666,5,31.075911018087844,75.02966080157898,5,5,w0.35_y0.2_p10,19.614241316178536,18.22012306091101,1.394118255267525
0.35,0.2,12,45,False,7.311111111111111,2.731074043686616,0,10,7.311111111111111,0.0,9,5,10.166666666666666,5,31.075911018087844,75.02966080157898,5,5,w0.35_y0.2_p12,19.614241316178536,18.22012306091101,1.394118255267525
0.4,0.1,10,45,False,7.377777777777778,2.7103824157314356,0,10,7.377777777777778,0.0,10,5,10.5,5,31.015823244593555,75.02966080157898,5,5,w0.4_y0.1_p10,19.702964543525404,18.22012306091101,1.4828414826143934
0.4,0.15,10,45,False,7.377777777777778,2.7103824157314356,0,10,7.377777777777778,0.0,10,5,10.5,5,31.015823244593555,75.02966080157898,5,5,w0.4_y0.15_p10,19.702964543525404,18.22012306091101,1.4828414826143934
0.4,0.2,10,45,False,7.377777777777778,2.7103824157314356,0,10,7.377777777777778,0.0,10,5,10.5,5,31.015823244593555,75.02966080157898,5,5,w0.4_y0.2_p10,19.702964543525404,18.22012306091101,1.4828414826143934
0.4,0.1,12,45,False,7.4,2.7357712704910924,0,11,7.4,0.0,10,5,10.5,5,30.936719190818714,75.02966080157898,5,5,w0.4_y0.1_p12,19.778453627437813,18.22012306091101,1.5583305665268021
0.4,0.15,12,45,False,7.4,2.7357712704910924,0,11,7.4,0.0,10,5,10.5,5,30.936719190818714,75.02966080157898,5,5,w0.4_y0.15_p12,19.778453627437813,18.22012306091101,1.5583305665268021
0.4,0.2,12,45,False,7.4,2.7357712704910924,0,11,7.4,0.0,10,5,10.5,5,30.936719190818714,75.02966080157898,5,5,w0.4_y0.2_p12,19.778453627437813,18.22012306091101,1.5583305665268021
