seed_id,A0_forecast_ade,A1_forecast_ade,A1_residual_forecast_ade,A3_forecast_ade,linear_forecast_ade,delta_A1_minus_A0,winner,winner_vs_linear,winner_residual_vs_linear,A0_teacher_forced,A1_teacher_forced
offset_0s,nan,nan,4.517849579649026,,4.552859981816752,nan,na,na,A1_residual,,
offset_10s,nan,nan,3.946554445135511,,4.064230832997049,nan,na,na,A1_residual,,
offset_12s,nan,nan,3.266576411064269,,3.3014307256824624,nan,na,na,A1_residual,,
offset_14s,nan,nan,9.529012944931049,,9.40720087517828,nan,na,na,linear,,
offset_16s,nan,nan,7.380583793608824,,7.441199946960731,nan,na,na,A1_residual,,
offset_18s,nan,nan,5.6364464274356,,5.614124992289047,nan,na,na,linear,,
offset_20s,nan,nan,4.400264367999763,,4.369111395837989,nan,na,na,linear,,
offset_22s,nan,nan,4.587915417326091,,4.5550530751391065,nan,na,na,linear,,
offset_24s,nan,nan,7.65638201316182,,7.607752544207575,nan,na,na,linear,,
offset_26s,nan,nan,7.453906318944823,,7.413778986019484,nan,na,na,linear,,
offset_28s,nan,nan,4.455254015774443,,4.435107432208807,nan,na,na,linear,,
offset_2s,nan,nan,3.1322894243856245,,3.228139368365585,nan,na,na,A1_residual,,
offset_30s,nan,nan,6.309528479347339,,6.420724804343782,nan,na,na,A1_residual,,
offset_4s,nan,nan,4.255753950758006,,4.314625178452447,nan,na,na,A1_residual,,
offset_6s,nan,nan,5.301151151075896,,5.1280380145886735,nan,na,na,linear,,
offset_8s,nan,nan,5.906048315693323,,5.852206129285137,nan,na,na,linear,,
